no,num1,num2,num3,num4,num5,num6,binus,winning_1,winning_2,winning_3,winning_4,winning_5
231,5,10,19,31,44,45,27,"1,088,365,900.00","85,923,624.00","1,288,516.00","55,051.00","5,000.00"
232,8,9,10,12,24,44,35,"1,110,918,400.00","92,576,534.00","1,314,178.00","51,274.00","5,000.00"
233,4,6,13,17,28,40,39,"999,153,750.00","64,048,318.00","1,307,109.00","53,259.00","5,000.00"
234,13,21,22,24,26,37,4,"2,519,743,875.00","73,036,055.00","1,601,363.00","61,167.00","5,000.00"
235,21,22,26,27,31,37,8,"3,433,330,100.00","59,195,347.00","1,457,271.00","57,657.00","5,000.00"
236,1,4,8,13,37,39,7,"5,030,040,150.00","40,894,636.00","1,602,945.00","61,553.00","5,000.00"
237,1,11,17,21,24,44,33,"1,440,630,729.00","43,095,792.00","1,530,725.00","58,626.00","5,000.00"
238,2,4,15,28,31,34,35,"1,121,660,567.00","58,016,926.00","1,578,322.00","61,640.00","5,000.00"
239,11,15,24,39,41,44,7,"1,134,140,167.00","58,662,423.00","1,570,832.00","60,921.00","5,000.00"
240,6,10,16,40,41,43,21,"5,098,251,450.00","60,693,470.00","1,567,728.00","59,238.00","5,000.00"
241,2,16,24,27,28,35,21,"2,552,016,300.00","50,039,536.00","1,759,405.00","63,267.00","5,000.00"
242,4,19,20,21,32,34,43,"1,234,542,375.00","45,723,792.00","1,322,134.00","54,286.00","5,000.00"
243,2,12,17,19,28,42,34,"2,408,850,000.00","55,375,863.00","1,474,656.00","59,418.00","5,000.00"
244,13,16,25,36,37,38,19,"9,121,583,100.00","60,810,554.00","1,387,103.00","55,353.00","5,000.00"
245,9,11,27,31,32,38,22,"1,382,583,129.00","46,086,105.00","1,477,119.00","56,159.00","5,000.00"
246,13,18,21,23,26,39,15,"1,911,774,240.00","61,274,816.00","1,231,179.00","53,462.00","5,000.00"
247,12,15,28,36,39,40,13,"1,669,313,900.00","57,562,549.00","1,638,189.00","63,856.00","5,000.00"
